epoch,step,train_loss,train_mae,train_mse,val_loss,val_mae,val_mse
44,7999,-1.5036505460739136,6.230780601501465,50.17292785644531,,,
44,8049,-0.7398215532302856,13.84205150604248,291.2718200683594,,,
44,8099,-0.9971779584884644,9.383244514465332,161.0430450439453,,,
44,8099,,,,-1.5694622993469238,5.505333423614502,44.57103729248047
45,8149,-1.237790584564209,7.234790325164795,92.53998565673828,,,
45,8199,-1.1315057277679443,8.213666915893555,118.1991195678711,,,
45,8249,-1.5585076808929443,5.79874324798584,44.21935272216797,,,
45,8279,,,,-1.3995728492736816,6.318450927734375,66.09613800048828
46,8299,-1.3356767892837524,6.578845977783203,73.86576843261719,,,
46,8349,-1.3719819784164429,6.596070289611816,67.94195556640625,,,
46,8399,-1.024519443511963,10.095623016357422,151.2169647216797,,,
46,8449,-1.4347996711730957,6.4913530349731445,58.79229736328125,,,
46,8459,,,,-1.732270359992981,4.584349155426025,30.58338737487793
47,8499,-1.242660641670227,7.703727722167969,91.5080795288086,,,
47,8549,-1.0718836784362793,8.643743515014648,135.59268188476562,,,
47,8599,-0.7949807643890381,11.006025314331055,256.5306701660156,,,
47,8639,,,,-1.5400784015655518,5.379769325256348,48.13983917236328
48,8649,-1.2023749351501465,7.733516216278076,100.4026107788086,,,
48,8699,-1.4960371255874634,5.807002067565918,51.06024169921875,,,
48,8749,-1.354264497756958,6.796700477600098,70.7710189819336,,,
48,8799,-0.9456844329833984,9.9971923828125,181.31573486328125,,,
48,8819,,,,-1.6957372426986694,4.75271463394165,33.24428176879883
49,8849,-1.5548282861709595,5.682901382446289,44.59557342529297,,,
49,8899,-1.3344833850860596,6.823795318603516,74.06901550292969,,,
49,8949,-1.4330633878707886,6.28988790512085,59.027793884277344,,,
49,8999,-1.3883565664291382,6.200653553009033,65.427978515625,,,
49,8999,,,,-1.6596307754516602,4.883855819702148,36.34177780151367
50,9049,-0.8703166246414185,11.020608901977539,215.67677307128906,,,
50,9099,-0.9159384369850159,10.390100479125977,194.16976928710938,,,
50,9149,-1.8137942552566528,4.0889997482299805,24.565509796142578,,,
50,9179,,,,-1.5642056465148926,5.409987449645996,45.1369743347168
51,9199,-1.5277742147445679,5.817421913146973,47.46196746826172,,,
51,9249,-1.7846747636795044,4.188990116119385,26.269107818603516,,,
51,9299,-1.1620076894760132,8.722065925598145,110.18243408203125,,,
51,9349,-1.1963716745376587,8.126749992370605,101.80015563964844,,,
51,9359,,,,-1.5237524509429932,5.351341247558594,51.69847869873047
52,9399,-1.8932627439498901,3.8391404151916504,20.457727432250977,,,
52,9449,-1.0586224794387817,8.642621994018555,139.79690551757812,,,
52,9499,-0.7706884741783142,12.505290985107422,271.2885437011719,,,
52,9539,,,,-1.789575457572937,4.238731861114502,26.7833251953125
53,9549,-1.7893534898757935,4.105356216430664,25.98762321472168,,,
53,9599,-1.0040397644042969,9.470684051513672,158.51856994628906,,,
53,9649,-1.2103002071380615,7.5379438400268555,98.58702087402344,,,
53,9699,-1.8781332969665527,3.941216468811035,21.18297004699707,,,
53,9719,,,,-1.3584107160568237,6.823000431060791,72.63933563232422
54,9749,-0.9451606273651123,9.769974708557129,181.53457641601562,,,
54,9799,-1.0626400709152222,9.945002555847168,138.50961303710938,,,
54,9849,-1.7568602561950684,4.586349010467529,28.00656509399414,,,
